Data,Casos,Mortes,Estado,
1/30/2020,0,0,CE,
1/30/2020,0,0,MG,
1/30/2020,0,0,RJ,
1/30/2020,0,0,SP,
1/30/2020,0,0,PR,
1/30/2020,0,0,SC,
1/30/2020,0,0,RS,
1/31/2020,0,0,CE,
1/31/2020,0,0,MG,
1/31/2020,0,0,RJ,
1/31/2020,0,0,SP,
1/31/2020,0,0,PR,
1/31/2020,0,0,SC,
1/31/2020,0,0,RS,
2/1/2020,0,0,CE,
2/1/2020,0,0,MG,
2/1/2020,0,0,RJ,
2/1/2020,0,0,SP,
2/1/2020,0,0,PR,
2/1/2020,0,0,SC,
2/1/2020,0,0,RS,
2/2/2020,0,0,CE,
2/2/2020,0,0,MG,
2/2/2020,0,0,RJ,
2/2/2020,0,0,SP,
2/2/2020,0,0,PR,
2/2/2020,0,0,SC,
2/2/2020,0,0,RS,
2/3/2020,0,0,CE,
2/3/2020,0,0,MG,
2/3/2020,0,0,RJ,
2/3/2020,0,0,SP,
2/3/2020,0,0,PR,
2/3/2020,0,0,SC,
2/3/2020,0,0,RS,
2/4/2020,0,0,CE,
2/4/2020,0,0,MG,
2/4/2020,0,0,RJ,
2/4/2020,0,0,SP,
2/4/2020,0,0,PR,
2/4/2020,0,0,SC,
2/4/2020,0,0,RS,
2/5/2020,0,0,CE,
2/5/2020,0,0,MG,
2/5/2020,0,0,RJ,
2/5/2020,0,0,SP,
2/5/2020,0,0,PR,
2/5/2020,0,0,SC,
2/5/2020,0,0,RS,
2/6/2020,0,0,CE,
2/6/2020,0,0,MG,
2/6/2020,0,0,RJ,
2/6/2020,0,0,SP,
2/6/2020,0,0,PR,
2/6/2020,0,0,SC,
2/6/2020,0,0,RS,
2/7/2020,0,0,CE,
2/7/2020,0,0,MG,
2/7/2020,0,0,RJ,
2/7/2020,0,0,SP,
2/7/2020,0,0,PR,
2/7/2020,0,0,SC,
2/7/2020,0,0,RS,
2/8/2020,0,0,CE,
2/8/2020,0,0,MG,
2/8/2020,0,0,RJ,
2/8/2020,0,0,SP,
2/8/2020,0,0,PR,
2/8/2020,0,0,SC,
2/8/2020,0,0,RS,
2/9/2020,0,0,CE,
2/9/2020,0,0,MG,
2/9/2020,0,0,RJ,
2/9/2020,0,0,SP,
2/9/2020,0,0,PR,
2/9/2020,0,0,SC,
2/9/2020,0,0,RS,
2/10/2020,0,0,CE,
2/10/2020,0,0,MG,
2/10/2020,0,0,RJ,
2/10/2020,0,0,SP,
2/10/2020,0,0,PR,
2/10/2020,0,0,SC,
2/10/2020,0,0,RS,
2/11/2020,0,0,CE,
2/11/2020,0,0,MG,
2/11/2020,0,0,RJ,
2/11/2020,0,0,SP,
2/11/2020,0,0,PR,
2/11/2020,0,0,SC,
2/11/2020,0,0,RS,
2/12/2020,0,0,CE,
2/12/2020,0,0,MG,
2/12/2020,0,0,RJ,
2/12/2020,0,0,SP,
2/12/2020,0,0,PR,
2/12/2020,0,0,SC,
2/12/2020,0,0,RS,
2/13/2020,0,0,CE,
2/13/2020,0,0,MG,
2/13/2020,0,0,RJ,
2/13/2020,0,0,SP,
2/13/2020,0,0,PR,
2/13/2020,0,0,SC,
2/13/2020,0,0,RS,
2/13/2020,0,0,DF,
2/14/2020,0,0,CE,
2/14/2020,0,0,MG,
2/14/2020,0,0,RJ,
2/14/2020,0,0,SP,
2/14/2020,0,0,PR,
2/14/2020,0,0,SC,
2/14/2020,0,0,RS,
2/14/2020,0,0,DF,
2/15/2020,0,0,CE,
2/15/2020,0,0,MG,
2/15/2020,0,0,RJ,
2/15/2020,0,0,SP,
2/15/2020,0,0,PR,
2/15/2020,0,0,SC,
2/15/2020,0,0,RS,
2/15/2020,0,0,DF,
2/16/2020,0,0,CE,
2/16/2020,0,0,MG,
2/16/2020,0,0,RJ,
2/16/2020,0,0,SP,
2/16/2020,0,0,PR,
2/16/2020,0,0,SC,
2/16/2020,0,0,RS,
2/16/2020,0,0,DF,
2/17/2020,0,0,CE,
2/17/2020,0,0,MG,
2/17/2020,0,0,RJ,
2/17/2020,0,0,SP,
2/17/2020,0,0,PR,
2/17/2020,0,0,SC,
2/17/2020,0,0,RS,
2/17/2020,0,0,DF,
2/18/2020,0,0,CE,
2/18/2020,0,0,MG,
2/18/2020,0,0,RJ,
2/18/2020,0,0,SP,
2/18/2020,0,0,PR,
2/18/2020,0,0,SC,
2/18/2020,0,0,RS,
2/18/2020,0,0,DF,
2/19/2020,0,0,CE,
2/19/2020,0,0,MG,
2/19/2020,0,0,RJ,
2/19/2020,0,0,SP,
2/19/2020,0,0,PR,
2/19/2020,0,0,SC,
2/19/2020,0,0,RS,
2/19/2020,0,0,DF,
2/20/2020,0,0,CE,
2/20/2020,0,0,MG,
2/20/2020,0,0,RJ,
2/20/2020,0,0,SP,
2/20/2020,0,0,PR,
2/20/2020,0,0,SC,
2/20/2020,0,0,RS,
2/20/2020,0,0,DF,
2/21/2020,0,0,CE,
2/21/2020,0,0,MG,
2/21/2020,0,0,RJ,
2/21/2020,0,0,SP,
2/21/2020,0,0,PR,
2/21/2020,0,0,SC,
2/21/2020,0,0,RS,
2/21/2020,0,0,DF,
2/22/2020,0,0,CE,
2/22/2020,0,0,MG,
2/22/2020,0,0,RJ,
2/22/2020,0,0,SP,
2/22/2020,0,0,PR,
2/22/2020,0,0,SC,
2/22/2020,0,0,RS,
2/22/2020,0,0,DF,
2/23/2020,0,0,CE,
2/23/2020,0,0,MG,
2/23/2020,0,0,RJ,
2/23/2020,0,0,SP,
2/23/2020,0,0,PR,
2/23/2020,0,0,SC,
2/23/2020,0,0,RS,
2/23/2020,0,0,DF,
2/24/2020,0,0,CE,
2/24/2020,0,0,MG,
2/24/2020,0,0,RJ,
2/24/2020,0,0,SP,
2/24/2020,0,0,PR,
2/24/2020,0,0,SC,
2/24/2020,0,0,RS,
2/24/2020,0,0,DF,
2/25/2020,0,0,CE,
2/25/2020,0,0,MG,
2/25/2020,0,0,RJ,
2/25/2020,0,0,SP,
2/25/2020,0,0,PR,
2/25/2020,0,0,SC,
2/25/2020,0,0,RS,
2/25/2020,0,0,DF,
2/26/2020,0,0,CE,
2/26/2020,0,0,PB,
2/26/2020,0,0,PE,
2/26/2020,0,0,BA,
2/26/2020,0,0,MG,
2/26/2020,0,0,ES,
2/26/2020,0,0,RJ,
2/26/2020,1,0,SP,
2/26/2020,0,0,PR,
2/26/2020,0,0,SC,
2/26/2020,0,0,RS,
2/26/2020,0,0,DF,
2/27/2020,0,0,CE,
2/27/2020,0,0,RN,
2/27/2020,0,0,PB,
2/27/2020,0,0,PE,
2/27/2020,0,0,AL,
2/27/2020,0,0,BA,
2/27/2020,0,0,MG,
2/27/2020,0,0,ES,
2/27/2020,0,0,RJ,
2/27/2020,1,0,SP,
2/27/2020,0,0,PR,
2/27/2020,0,0,SC,
2/27/2020,0,0,RS,
2/27/2020,0,0,MS,
2/27/2020,0,0,GO,
2/27/2020,0,0,DF,
2/28/2020,0,0,CE,
2/28/2020,0,0,RN,
2/28/2020,0,0,PB,
2/28/2020,0,0,PE,
2/28/2020,0,0,AL,
2/28/2020,0,0,BA,
2/28/2020,0,0,MG,
2/28/2020,0,0,ES,
2/28/2020,0,0,RJ,
2/28/2020,1,0,SP,
2/28/2020,0,0,PR,
2/28/2020,0,0,SC,
2/28/2020,0,0,RS,
2/28/2020,0,0,MS,
2/28/2020,0,0,GO,
2/28/2020,0,0,DF,
2/29/2020,0,0,CE,
2/29/2020,0,0,RN,
2/29/2020,0,0,PB,
2/29/2020,0,0,PE,
2/29/2020,0,0,AL,
2/29/2020,0,0,BA,
2/29/2020,0,0,MG,
2/29/2020,0,0,ES,
2/29/2020,0,0,RJ,
2/29/2020,2,0,SP,
2/29/2020,0,0,PR,
2/29/2020,0,0,SC,
2/29/2020,0,0,RS,
2/29/2020,0,0,MS,
2/29/2020,0,0,GO,
2/29/2020,0,0,DF,
3/1/2020,0,0,CE,
3/1/2020,0,0,RN,
3/1/2020,0,0,PB,
3/1/2020,0,0,PE,
3/1/2020,0,0,AL,
3/1/2020,0,0,BA,
3/1/2020,0,0,MG,
3/1/2020,0,0,ES,
3/1/2020,0,0,RJ,
3/1/2020,2,0,SP,
3/1/2020,0,0,PR,
3/1/2020,0,0,SC,
3/1/2020,0,0,RS,
3/1/2020,0,0,MS,
3/1/2020,0,0,GO,
3/1/2020,0,0,DF,
3/2/2020,0,0,RO,
3/2/2020,0,0,AM,
3/2/2020,0,0,PA,
3/2/2020,0,0,MA,
3/2/2020,0,0,PI,
3/2/2020,0,0,CE,
3/2/2020,0,0,RN,
3/2/2020,0,0,PB,
3/2/2020,0,0,PE,
3/2/2020,0,0,AL,
3/2/2020,0,0,SE,
3/2/2020,0,0,BA,
3/2/2020,0,0,MG,
3/2/2020,0,0,ES,
3/2/2020,0,0,RJ,
3/2/2020,2,0,SP,
3/2/2020,0,0,PR,
3/2/2020,0,0,SC,
3/2/2020,0,0,RS,
3/2/2020,0,0,MS,
3/2/2020,0,0,MT,
3/2/2020,0,0,GO,
3/2/2020,0,0,DF,
3/3/2020,0,0,RO,
3/3/2020,0,0,AM,
3/3/2020,0,0,PA,
3/3/2020,0,0,MA,
3/3/2020,0,0,PI,
3/3/2020,0,0,CE,
3/3/2020,0,0,RN,
3/3/2020,0,0,PB,
3/3/2020,0,0,PE,
3/3/2020,0,0,AL,
3/3/2020,0,0,SE,
3/3/2020,0,0,BA,
3/3/2020,0,0,MG,
3/3/2020,0,0,ES,
3/3/2020,0,0,RJ,
3/3/2020,2,0,SP,
3/3/2020,0,0,PR,
3/3/2020,0,0,SC,
3/3/2020,0,0,RS,
3/3/2020,0,0,MS,
3/3/2020,0,0,MT,
3/3/2020,0,0,GO,
3/3/2020,0,0,DF,
3/4/2020,0,0,RO,
3/4/2020,0,0,AM,
3/4/2020,0,0,PA,
3/4/2020,0,0,MA,
3/4/2020,0,0,PI,
3/4/2020,0,0,CE,
